method,mechanism,rate,seed,n_test_patients,shap_rmse,lime_mean_rho,lime_median_rho,lime_n_valid,lime_n_invalid
Mean/Mode,MNAR,0.2,47,60,0.0457082010141281,0.79496336996337,0.7912087912087913,60,0
Mean/Mode,MNAR,0.2,48,60,0.03568898416423823,0.8590659340659342,0.8653846153846154,60,0
Mean/Mode,MNAR,0.2,49,60,0.035186528268098954,0.8112637362637363,0.8131868131868131,60,0
Mean/Mode,MNAR,0.3,42,60,0.03804477657103615,0.7883699633699633,0.7912087912087913,60,0
Mean/Mode,MNAR,0.3,43,60,0.05224451559340887,0.5630952380952381,0.5549450549450549,60,0
Mean/Mode,MNAR,0.3,44,60,0.04867654980759939,0.7277472527472527,0.7445054945054945,60,0
Mean/Mode,MNAR,0.3,45,60,0.057752614698418844,0.5822344322344323,0.5961538461538461,60,0
Mean/Mode,MNAR,0.3,46,60,0.05820726798795907,0.6152014652014652,0.6263736263736264,60,0
Mean/Mode,MNAR,0.3,47,60,0.0592673375417652,0.6256410256410255,0.6318681318681317,60,0
Mean/Mode,MNAR,0.3,48,60,0.06804115521871316,0.5554029304029304,0.5467032967032966,60,0
Mean/Mode,MNAR,0.3,49,60,0.037659556787516334,0.7898351648351647,0.7884615384615385,60,0
RF-iterative,MAR,0.1,42,60,0.009849737918244483,0.9461538461538461,0.9505494505494506,60,0
RF-iterative,MAR,0.1,43,60,0.017524507361018203,0.9162087912087912,0.9230769230769231,60,0
RF-iterative,MAR,0.1,44,60,0.016351326196921295,0.9379120879120879,0.945054945054945,60,0
RF-iterative,MAR,0.1,45,60,0.018931639405221846,0.9061355311355311,0.9038461538461539,60,0
RF-iterative,MAR,0.1,46,60,0.01910739084119463,0.9550366300366302,0.9587912087912087,60,0
RF-iterative,MAR,0.1,47,60,0.014201287961006493,0.9176739926739927,0.9175824175824175,60,0
RF-iterative,MAR,0.1,48,60,0.010127855255615032,0.9297619047619048,0.9340659340659341,60,0
RF-iterative,MAR,0.1,49,60,0.016671930594721024,0.925915750915751,0.9340659340659341,60,0
RF-iterative,MAR,0.2,42,60,0.024787870339174747,0.895054945054945,0.8956043956043955,60,0
RF-iterative,MAR,0.2,43,60,0.018338639662096916,0.8924908424908424,0.8956043956043955,60,0
RF-iterative,MAR,0.2,44,60,0.013791563540360548,0.891117216117216,0.8956043956043955,60,0
