method,mechanism,rate,seed,nrmse,pfc,variant_filename,n_missing_cells_scored,n_continuous_cells_scored,n_categorical_cells_scored
Mean/Mode,MCAR,0.3,46,0.9905576646067383,0.4301765650080257,MCAR_rate30_seed46.csv,979,356,623
Mean/Mode,MCAR,0.3,47,0.9568706260599366,0.4301765650080257,MCAR_rate30_seed47.csv,979,356,623
Mean/Mode,MCAR,0.3,48,1.0288979547748256,0.44141252006420545,MCAR_rate30_seed48.csv,979,356,623
Mean/Mode,MCAR,0.3,49,1.0776086250673573,0.4189406099518459,MCAR_rate30_seed49.csv,979,356,623
Mean/Mode,MNAR,0.1,42,1.6089841926957482,0.8380952380952381,MNAR_rate10_seed42.csv,330,120,210
Mean/Mode,MNAR,0.1,43,1.6345082890304783,0.8476190476190476,MNAR_rate10_seed43.csv,330,120,210
Mean/Mode,MNAR,0.1,44,1.5818415720780223,0.8333333333333334,MNAR_rate10_seed44.csv,330,120,210
Mean/Mode,MNAR,0.1,45,1.7191354382285857,0.8523809523809524,MNAR_rate10_seed45.csv,330,120,210
Mean/Mode,MNAR,0.1,46,1.621978759065617,0.8476190476190476,MNAR_rate10_seed46.csv,330,120,210
Mean/Mode,MNAR,0.1,47,1.6572963136281498,0.8571428571428571,MNAR_rate10_seed47.csv,330,120,210
Mean/Mode,MNAR,0.1,48,1.5553388435209614,0.8333333333333334,MNAR_rate10_seed48.csv,330,120,210
Mean/Mode,MNAR,0.1,49,1.7788232295248063,0.8571428571428571,MNAR_rate10_seed49.csv,330,120,210
Mean/Mode,MNAR,0.2,42,1.7212416623780136,0.7990314769975787,MNAR_rate20_seed42.csv,649,236,413
Mean/Mode,MNAR,0.2,43,1.761567124737351,0.8087167070217918,MNAR_rate20_seed43.csv,649,236,413
Mean/Mode,MNAR,0.2,44,1.6361267934588697,0.8135593220338984,MNAR_rate20_seed44.csv,649,236,413
Mean/Mode,MNAR,0.2,45,1.6829347373839973,0.8062953995157385,MNAR_rate20_seed45.csv,649,236,413
Mean/Mode,MNAR,0.2,46,1.6774371812620577,0.801452784503632,MNAR_rate20_seed46.csv,649,236,413
Mean/Mode,MNAR,0.2,47,1.680530788445505,0.8111380145278451,MNAR_rate20_seed47.csv,649,236,413
Mean/Mode,MNAR,0.2,48,1.696822247746454,0.801452784503632,MNAR_rate20_seed48.csv,649,236,413
Mean/Mode,MNAR,0.2,49,1.6762956335193682,0.801452784503632,MNAR_rate20_seed49.csv,649,236,413
Mean/Mode,MNAR,0.3,42,1.6518898579069208,0.898876404494382,MNAR_rate30_seed42.csv,979,356,623
Mean/Mode,MNAR,0.3,43,1.6516508311590876,0.8908507223113965,MNAR_rate30_seed43.csv,979,356,623
Mean/Mode,MNAR,0.3,44,1.6608838713686598,0.8892455858747994,MNAR_rate30_seed44.csv,979,356,623
Mean/Mode,MNAR,0.3,45,1.6740569057024481,0.884430176565008,MNAR_rate30_seed45.csv,979,356,623
Mean/Mode,MNAR,0.3,46,1.6671307801846291,0.8828250401284109,MNAR_rate30_seed46.csv,979,356,623
Mean/Mode,MNAR,0.3,47,1.6796693998975425,0.8972712680577849,MNAR_rate30_seed47.csv,979,356,623
Mean/Mode,MNAR,0.3,48,1.6736500502094314,0.8908507223113965,MNAR_rate30_seed48.csv,979,356,623
Mean/Mode,MNAR,0.3,49,1.653928389342737,0.9020866773675762,MNAR_rate30_seed49.csv,979,356,623
RF-iterative,MAR,0.1,42,1.1139921976637757,0.5095238095238095,MAR_rate10_seed42.csv,330,120,210
RF-iterative,MAR,0.1,43,0.9408328429979453,0.5714285714285714,MAR_rate10_seed43.csv,330,120,210
RF-iterative,MAR,0.1,44,0.9851416642746375,0.5523809523809524,MAR_rate10_seed44.csv,330,120,210
RF-iterative,MAR,0.1,45,1.134358798168426,0.5380952380952381,MAR_rate10_seed45.csv,330,120,210
RF-iterative,MAR,0.1,46,1.0351816471763937,0.47619047619047616,MAR_rate10_seed46.csv,330,120,210
RF-iterative,MAR,0.1,47,1.0620117705126597,0.49523809523809526,MAR_rate10_seed47.csv,330,120,210
RF-iterative,MAR,0.1,48,1.0366341174638012,0.5571428571428572,MAR_rate10_seed48.csv,330,120,210
RF-iterative,MAR,0.1,49,1.0221358760307977,0.5285714285714286,MAR_rate10_seed49.csv,330,120,210
RF-iterative,MAR,0.2,42,1.1489796097108096,0.513317191283293,MAR_rate20_seed42.csv,649,236,413
RF-iterative,MAR,0.2,43,1.1473031080696625,0.5472154963680388,MAR_rate20_seed43.csv,649,236,413
RF-iterative,MAR,0.2,44,1.2149973572621666,0.549636803874092,MAR_rate20_seed44.csv,649,236,413
RF-iterative,MAR,0.2,45,1.0871830360807158,0.5472154963680388,MAR_rate20_seed45.csv,649,236,413
RF-iterative,MAR,0.2,46,1.0946185774152182,0.5714285714285714,MAR_rate20_seed46.csv,649,236,413
RF-iterative,MAR,0.2,47,1.1909853647392246,0.5205811138014528,MAR_rate20_seed47.csv,649,236,413
RF-iterative,MAR,0.2,48,1.1529653772498774,0.5326876513317191,MAR_rate20_seed48.csv,649,236,413
RF-iterative,MAR,0.2,49,1.2139895334243274,0.5254237288135594,MAR_rate20_seed49.csv,649,236,413
RF-iterative,MAR,0.3,42,1.0752371284018063,0.5248796147672552,MAR_rate30_seed42.csv,979,356,623
RF-iterative,MAR,0.3,43,1.227918798078127,0.565008025682183,MAR_rate30_seed43.csv,979,356,623
RF-iterative,MAR,0.3,44,1.1078529735897396,0.5104333868378812,MAR_rate30_seed44.csv,979,356,623
RF-iterative,MAR,0.3,45,1.10350128948403,0.5393258426966292,MAR_rate30_seed45.csv,979,356,623
RF-iterative,MAR,0.3,46,1.2619296967845193,0.5425361155698234,MAR_rate30_seed46.csv,979,356,623
RF-iterative,MAR,0.3,47,1.088498635487568,0.5280898876404494,MAR_rate30_seed47.csv,979,356,623
RF-iterative,MAR,0.3,48,1.146634568360252,0.5313001605136437,MAR_rate30_seed48.csv,979,356,623
